respondent,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
r1,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
r2,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r3,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
r4,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
r5,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
r6,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
r7,1,2,1,1,1,1,0,3,2,0,0,2,0,2,0,3,2,2,2,2,2
r8,2,1,2,2,2,2,3,0,1,3,3,1,3,1,3,0,1,1,1,1,1
r9,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r10,1,2,1,1,1,1,0,3,2,0,0,2,0,2,0,3,2,2,2,2,2
r11,1,2,1,1,1,1,0,3,2,0,0,2,0,2,0,3,2,2,2,2,2
r12,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r13,1,2,1,1,1,1,0,3,2,0,0,2,0,2,0,3,2,2,2,2,2
r14,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r15,1,2,1,1,1,1,0,3,2,0,0,2,0,2,0,3,2,2,2,2,2
r16,2,1,2,2,2,2,3,0,1,3,3,1,3,1,3,0,1,1,1,1,1
r17,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r18,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r19,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r20,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
r21,1,0,1,1,1,1,2,1,0,2,2,0,2,0,2,1,0,0,0,0,0
