Respondent,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
R1,0.0,3.5,3.0,8.0,0.0,3.5,3.0,6.0,3.5,0.0,8.0,3.0,3.5,0.0,3.5,3.0,8.0,6.0,3.5,0.0,3.5,3.0,0.0,3.5,0.0
R2,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R3,3.0,6.5,0.0,11.0,3.0,6.5,0.0,3.0,6.5,3.0,11.0,0.0,6.5,3.0,6.5,0.0,11.0,3.0,6.5,3.0,6.5,0.0,3.0,6.5,3.0
R4,8.0,4.5,11.0,0.0,8.0,4.5,11.0,14.0,4.5,8.0,0.0,11.0,4.5,8.0,4.5,11.0,0.0,14.0,4.5,8.0,4.5,11.0,8.0,4.5,8.0
R5,0.0,3.5,3.0,8.0,0.0,3.5,3.0,6.0,3.5,0.0,8.0,3.0,3.5,0.0,3.5,3.0,8.0,6.0,3.5,0.0,3.5,3.0,0.0,3.5,0.0
R6,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R7,3.0,6.5,0.0,11.0,3.0,6.5,0.0,3.0,6.5,3.0,11.0,0.0,6.5,3.0,6.5,0.0,11.0,3.0,6.5,3.0,6.5,0.0,3.0,6.5,3.0
R8,6.0,9.5,3.0,14.0,6.0,9.5,3.0,0.0,9.5,6.0,14.0,3.0,9.5,6.0,9.5,3.0,14.0,0.0,9.5,6.0,9.5,3.0,6.0,9.5,6.0
R9,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R10,0.0,3.5,3.0,8.0,0.0,3.5,3.0,6.0,3.5,0.0,8.0,3.0,3.5,0.0,3.5,3.0,8.0,6.0,3.5,0.0,3.5,3.0,0.0,3.5,0.0
R11,8.0,4.5,11.0,0.0,8.0,4.5,11.0,14.0,4.5,8.0,0.0,11.0,4.5,8.0,4.5,11.0,0.0,14.0,4.5,8.0,4.5,11.0,8.0,4.5,8.0
R12,3.0,6.5,0.0,11.0,3.0,6.5,0.0,3.0,6.5,3.0,11.0,0.0,6.5,3.0,6.5,0.0,11.0,3.0,6.5,3.0,6.5,0.0,3.0,6.5,3.0
R13,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R14,0.0,3.5,3.0,8.0,0.0,3.5,3.0,6.0,3.5,0.0,8.0,3.0,3.5,0.0,3.5,3.0,8.0,6.0,3.5,0.0,3.5,3.0,0.0,3.5,0.0
R15,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R16,3.0,6.5,0.0,11.0,3.0,6.5,0.0,3.0,6.5,3.0,11.0,0.0,6.5,3.0,6.5,0.0,11.0,3.0,6.5,3.0,6.5,0.0,3.0,6.5,3.0
R17,8.0,4.5,11.0,0.0,8.0,4.5,11.0,14.0,4.5,8.0,0.0,11.0,4.5,8.0,4.5,11.0,0.0,14.0,4.5,8.0,4.5,11.0,8.0,4.5,8.0
R18,6.0,9.5,3.0,14.0,6.0,9.5,3.0,0.0,9.5,6.0,14.0,3.0,9.5,6.0,9.5,3.0,14.0,0.0,9.5,6.0,9.5,3.0,6.0,9.5,6.0
R19,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R20,0.0,3.5,3.0,8.0,0.0,3.5,3.0,6.0,3.5,0.0,8.0,3.0,3.5,0.0,3.5,3.0,8.0,6.0,3.5,0.0,3.5,3.0,0.0,3.5,0.0
R21,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R22,3.0,6.5,0.0,11.0,3.0,6.5,0.0,3.0,6.5,3.0,11.0,0.0,6.5,3.0,6.5,0.0,11.0,3.0,6.5,3.0,6.5,0.0,3.0,6.5,3.0
R23,0.0,3.5,3.0,8.0,0.0,3.5,3.0,6.0,3.5,0.0,8.0,3.0,3.5,0.0,3.5,3.0,8.0,6.0,3.5,0.0,3.5,3.0,0.0,3.5,0.0
R24,3.5,0.0,6.5,4.5,3.5,0.0,6.5,9.5,0.0,3.5,4.5,6.5,0.0,3.5,0.0,6.5,4.5,9.5,0.0,3.5,0.0,6.5,3.5,0.0,3.5
R25,0.0,3.5,3.0,8.0,0.0,3.5,3.0,6.0,3.5,0.0,8.0,3.0,3.5,0.0,3.5,3.0,8.0,6.0,3.5,0.0,3.5,3.0,0.0,3.5,0.0
